Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U202,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,219.750000,-195.750000,0.000000,top
U301,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,262.500000,-200.500000,0.000000,top
U401,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,287.500000,-200.500000,0.000000,top
U501,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,312.500000,-200.500000,0.000000,top
U601,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,337.500000,-200.500000,0.000000,top
U701,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,362.500000,-200.500000,0.000000,top
U801,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,397.500000,-200.500000,0.000000,top
U901,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,422.500000,-200.500000,0.000000,top
U1001,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,447.500000,-200.500000,0.000000,top
U1101,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,472.500000,-200.500000,0.000000,top
U1201,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,497.500000,-200.500000,0.000000,top
U1401,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,119.500000,-211.000000,0.000000,top
U1402,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,137.500000,-211.000000,0.000000,top
U1403,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,155.500000,-211.000000,0.000000,top
U1404,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,173.500000,-211.000000,0.000000,top
